country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Honduras,1992,HND,5244677,15733343232.000,0.271,0.052,2.686,0.247,10.130,0.512,0.171,0.151,0.004,0.001,3.685,0.703,0.234,4.290,57.437,0.011,,,53.136,,3396.832,1.132,,,,,2.240,3.363,7.310,1.394,2.040,0.389,2.411,0.460,,,17.815,0.050,0.010,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,17.640,11.750,0.999,37.210
Honduras,1993,HND,5394416,16847893504.000,0.299,0.055,2.824,0.138,5.130,0.523,0.168,0.159,0.004,0.001,3.684,0.683,0.219,4.589,60.261,0.015,,,55.657,,3293.559,1.055,,,,,2.141,3.235,6.980,1.294,2.000,0.371,2.521,0.467,,,17.767,0.050,0.010,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,17.450,11.550,0.860,30.470
Honduras,1994,HND,5548969,16756480000.000,0.252,0.045,3.162,0.338,11.980,0.570,0.189,0.178,0.004,0.001,3.905,0.704,0.233,4.841,63.422,0.018,,,58.562,,3199.787,1.060,,,,,2.206,3.267,7.360,1.326,1.950,0.351,2.906,0.524,,,17.756,0.040,0.010,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,18.130,12.240,0.743,23.510
Honduras,1995,HND,5709010,17579243520.000,0.293,0.051,3.767,0.605,19.130,0.660,0.214,0.196,0.004,0.001,4.336,0.760,0.247,5.135,67.189,0.022,,,62.032,,3362.375,1.092,,,,,2.279,3.311,7.190,1.259,2.260,0.396,3.470,0.608,,,19.196,0.050,0.020,0.000,0.030,0.010,0.000,,,0.020,,,,0.040,,18.900,13.010,0.569,15.120
Honduras,1996,HND,5874814,18358896640.000,0.384,0.065,3.817,0.050,1.330,0.650,0.208,0.178,0.004,0.001,4.681,0.797,0.255,5.518,71.006,0.026,,,65.462,,3655.332,1.170,,,,,2.146,3.144,6.930,1.180,2.040,0.347,3.430,0.584,,,21.474,0.060,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.040,,18.470,12.610,0.864,22.630
Honduras,1997,HND,6045704,19427979264.000,0.416,0.069,3.945,0.128,3.350,0.652,0.203,0.179,0.004,0.001,5.321,0.880,0.274,5.934,74.951,0.029,,,68.987,,3647.315,1.135,,,,,2.089,3.123,6.870,1.136,2.340,0.387,3.525,0.583,,,22.051,0.060,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.040,,18.880,12.630,1.376,34.880
Honduras,1998,HND,6220405,20150663168.000,0.355,0.057,4.737,0.793,20.090,0.762,0.235,0.200,0.004,0.001,6.140,0.987,0.305,6.289,79.688,0.033,,,73.366,,3803.820,1.174,,,,,2.071,3.124,6.640,1.067,2.450,0.394,4.379,0.704,,,23.661,0.050,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.040,,19.430,12.880,1.403,29.620
Honduras,1999,HND,6397140,19928432640.000,0.385,0.060,4.613,-0.124,-2.620,0.721,0.231,0.182,0.150,0.023,6.741,1.054,0.338,6.674,84.301,0.183,,,77.444,,3963.072,1.272,,,,,1.904,2.858,5.530,0.864,2.310,0.361,4.078,0.637,,,25.352,0.060,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.040,,18.280,12.180,2.128,46.130
Honduras,2000,HND,6574510,21239306240.000,0.500,0.076,4.929,0.316,6.850,0.750,0.232,0.202,0.359,0.055,7.617,1.159,0.359,7.173,89.230,0.542,,,81.515,,3708.293,1.148,,,,,1.907,2.856,5.490,0.835,2.580,0.392,4.071,0.619,,,24.380,0.070,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.040,,18.780,12.540,2.688,54.530
Honduras,2001,HND,6751912,21992955904.000,0.509,0.075,5.602,0.673,13.650,0.830,0.255,0.211,0.326,0.048,8.300,1.229,0.377,7.683,94.833,0.868,,,86.282,,3936.396,1.208,,,,,1.988,2.784,5.130,0.760,2.310,0.342,4.767,0.706,,,26.578,0.070,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.050,,18.800,13.420,2.698,48.150
Honduras,2002,HND,6929267,22983632896.000,0.468,0.068,5.868,0.266,4.740,0.847,0.255,0.219,0.374,0.054,9.589,1.384,0.417,8.150,100.701,1.242,,,91.308,,3871.995,1.167,,,,,1.994,2.777,5.560,0.802,2.010,0.290,5.026,0.725,,,26.830,0.060,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.050,,19.240,13.820,3.721,63.420
Honduras,2003,HND,7106323,24205426688.000,0.480,0.068,6.617,0.749,12.760,0.931,0.273,0.225,0.447,0.063,9.134,1.285,0.377,8.630,107.318,1.689,,,96.998,,4142.374,1.216,,,,,2.201,3.106,6.760,0.951,2.990,0.421,5.690,0.801,,,29.437,0.060,0.020,0.000,0.040,0.010,0.000,,,0.020,,,,0.050,,22.070,15.640,2.517,38.040
Honduras,2004,HND,7282953,25910108160.000,0.522,0.072,7.194,0.577,8.720,0.988,0.278,0.230,0.469,0.064,9.104,1.250,0.351,9.152,114.512,2.158,,,103.201,,4301.360,1.209,,,,,2.260,2.997,6.230,0.855,2.430,0.334,6.203,0.852,,,31.327,0.060,0.030,0.000,0.040,0.010,0.000,,,0.030,,,,0.060,,21.830,16.460,1.910,26.550
Honduras,2005,HND,7458982,27704981504.000,0.514,0.069,6.831,-0.363,-5.050,0.916,0.247,0.213,0.095,0.013,9.405,1.261,0.340,9.666,121.343,2.254,,,109.423,,4303.949,1.159,,,,,2.199,3.016,6.850,0.918,3.050,0.409,6.221,0.834,,,32.103,0.050,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.060,,22.500,16.400,2.574,37.680
Honduras,2006,HND,7634295,29769398272.000,0.619,0.081,7.677,0.846,12.380,1.005,0.258,0.249,0.179,0.023,9.775,1.280,0.328,10.286,129.019,2.433,,,116.300,,4045.561,1.037,,,,,2.277,2.997,6.490,0.850,2.740,0.359,6.878,0.901,,,30.885,0.060,0.030,0.000,0.040,0.010,0.000,,,0.030,,,,0.060,,22.880,17.380,2.098,27.330
Honduras,2007,HND,7808520,31871723520.000,0.643,0.082,8.206,0.529,6.890,1.051,0.257,0.214,0.191,0.024,10.597,1.357,0.333,10.929,137.225,2.624,,,123.672,,4899.508,1.200,,,,,2.317,3.024,6.610,0.847,2.740,0.351,7.372,0.944,,,38.258,0.060,0.030,0.000,0.040,0.010,0.000,,,0.030,,,,0.070,,23.610,18.090,2.392,29.150
Honduras,2008,HND,7980955,33484304384.000,0.648,0.081,8.438,0.232,2.830,1.057,0.252,0.223,0.315,0.040,10.736,1.345,0.321,11.577,145.663,2.939,,,131.147,,4748.592,1.132,,,,,2.270,2.963,6.750,0.846,2.540,0.318,7.475,0.937,,,37.898,0.060,0.030,0.000,0.040,0.010,0.000,,,0.030,,,,0.070,,23.650,18.120,2.298,27.240
Honduras,2009,HND,8150780,32923389952.000,0.637,0.078,7.939,-0.499,-5.910,0.974,0.241,0.221,0.275,0.034,9.850,1.209,0.299,12.214,153.602,3.214,,,138.174,,4406.644,1.091,,,,,2.215,2.910,7.080,0.869,2.730,0.335,7.028,0.862,,,35.918,0.050,0.030,0.000,0.050,0.010,0.000,,,0.030,,,,0.060,,23.720,18.050,1.911,24.070
Honduras,2010,HND,8317467,34409603072.000,0.606,0.073,7.890,-0.049,-0.610,0.949,0.229,0.206,0.282,0.034,10.190,1.225,0.296,12.820,161.492,3.496,,,145.176,,4613.172,1.115,,,,,2.200,2.869,7.120,0.856,2.680,0.322,7.002,0.842,,,38.370,0.050,0.020,0.000,0.050,0.010,0.000,,,0.030,,,,0.060,,23.860,18.300,2.299,29.140
Honduras,2011,HND,8480670,35990761472.000,0.668,0.079,8.736,0.845,10.710,1.030,0.243,0.225,0.337,0.040,10.298,1.214,0.286,13.488,170.228,3.833,,,152.907,,4586.594,1.081,,,,,2.290,3.043,7.360,0.868,3.110,0.367,7.731,0.912,,,38.897,0.050,0.030,0.000,0.050,0.010,0.000,,,0.030,,,,0.070,,25.810,19.420,1.562,17.880
Honduras,2012,HND,8640692,37443690496.000,0.765,0.089,9.094,0.358,4.100,1.052,0.243,0.218,0.388,0.045,12.121,1.403,0.324,14.253,179.322,4.221,,,160.847,,4832.134,1.115,,,,,2.302,2.988,7.200,0.833,2.780,0.322,7.940,0.919,,,41.753,0.060,0.030,0.000,0.050,0.010,0.000,,,0.030,,,,0.070,,25.820,19.890,3.027,33.290
Honduras,2013,HND,8798524,38446698496.000,0.692,0.079,9.240,0.146,1.610,1.050,0.240,0.219,0.374,0.043,11.748,1.335,0.306,14.945,188.562,4.595,,,169.021,,4792.243,1.097,,,,,2.320,3.023,7.450,0.847,3.080,0.350,8.174,0.929,,,42.165,0.050,0.030,0.000,0.050,0.010,0.000,,,0.030,,,,0.070,,26.600,20.410,2.508,27.140
Honduras,2014,HND,8955579,39484542976.000,0.662,0.074,9.309,0.069,0.750,1.039,0.236,0.211,0.399,0.045,11.788,1.316,0.299,15.607,197.871,4.994,,,177.269,,4935.751,1.119,,,,,2.309,3.010,7.630,0.852,3.070,0.343,8.248,0.921,,,44.203,0.040,0.030,0.000,0.050,0.010,0.000,,,0.030,,,,0.070,,26.960,20.680,2.478,26.620
Honduras,2015,HND,9112904,40757800960.000,0.723,0.079,9.802,0.493,5.300,1.076,0.241,0.200,0.341,0.037,11.934,1.310,0.293,16.330,207.673,5.335,,,186.007,,5383.541,1.204,,,,,2.330,3.002,7.580,0.832,2.960,0.325,8.738,0.959,,,49.060,0.050,0.030,0.000,0.050,0.010,0.000,,,0.030,,,,0.070,,27.360,21.230,2.132,21.750
Honduras,2016,HND,9270794,42061463552.000,0.723,0.078,9.293,-0.509,-5.190,1.002,0.221,0.196,0.154,0.017,11.412,1.231,0.271,17.053,216.966,5.489,,,194.423,,5118.267,1.128,,,,,2.281,2.915,7.730,0.834,3.220,0.347,8.416,0.908,,,47.450,0.050,0.030,0.000,0.050,0.010,0.000,,,0.040,,,,0.070,,27.020,21.150,2.119,22.800
Honduras,2017,HND,9429016,43867512832.000,0.723,0.077,8.857,-0.436,-4.690,0.939,0.202,0.176,0.004,0.000,11.094,1.177,0.253,17.776,225.823,5.493,,,202.554,,5343.051,1.148,,,,,2.220,2.817,7.470,0.792,3.130,0.332,8.131,0.862,,,50.380,0.050,0.020,0.000,0.050,0.010,0.000,,,0.040,,,,0.070,,26.560,20.930,2.237,25.250
Honduras,2018,HND,9587523,45382746112.000,0.765,0.080,10.050,1.193,13.470,1.048,0.221,0.179,,,12.294,1.282,0.271,18.541,235.873,,,,211.839,,5853.068,1.237,,,,,2.311,2.910,7.770,0.810,3.290,0.343,9.285,0.968,,,56.116,0.050,0.030,,0.050,0.010,,,,0.040,,,,0.080,,27.900,22.160,2.244,22.330
Honduras,2019,HND,9746115,,0.765,0.079,10.789,0.739,7.350,1.107,,0.191,,,12.795,1.313,,19.307,246.662,,,,221.862,,5802.885,,,,,,2.297,2.887,7.770,0.797,3.260,0.334,10.024,1.028,,,56.556,0.050,0.030,,0.050,0.010,,,,0.040,,,,0.080,,28.140,22.390,2.006,18.600
Honduras,2020,HND,9904608,,0.765,0.077,9.660,-1.129,-10.470,0.975,,,,,,,,20.072,256.321,,,,230.756,,,,,,,,,,,,,,8.894,0.898,,,,0.050,0.030,,0.050,0.020,,,,0.040,,,,0.080,,,,,
Panama,1948,PAN,817970,2239128064.000,0.022,0.027,0.022,,,0.027,0.010,,,,,,,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,0.040,0.000,,0.000,0.000,,,,,,,,,,,,,
Panama,1949,PAN,838519,2289415936.000,0.025,0.030,0.025,0.004,16.670,0.030,0.011,,,,,,,0.047,0.047,,,,,,,,,,,,,,,,,,,,,,,0.040,0.000,,0.010,0.000,,,,,,,,,,,,,
Panama,1950,PAN,859658,2301261056.000,0.025,0.030,0.524,0.498,1958.740,0.609,0.228,,,,,,,0.073,0.571,,,,0.498,,,,,,,,,,,,,,0.498,0.580,,,,0.040,0.010,,0.010,0.000,,,,0.000,,,,0.030,,,,,
Panama,1951,PAN,881345,2281755904.000,0.036,0.041,0.560,0.037,6.980,0.636,0.246,,,,,,,0.109,1.131,,,,1.022,,,,,,,,,,,,,,0.524,0.595,,,,0.050,0.010,,0.010,0.000,,,,0.000,,,,0.030,,,,,
Panama,1952,PAN,904406,2403579904.000,0.047,0.052,0.725,0.165,29.410,0.802,0.302,,,,,,,0.156,1.856,,,,1.700,,,,,,,,,,,,,,0.678,0.749,,,,0.060,0.010,,0.010,0.000,,,,0.010,,,,0.040,,,,,
Panama,1953,PAN,928745,2548337920.000,0.040,0.043,0.721,-0.004,-0.500,0.777,0.283,,,,,,,0.196,2.578,,,,2.382,,,,,,,,,,,,,,0.682,0.734,,,,0.040,0.010,,0.020,0.000,,,,0.010,,,,0.030,,,,,
Panama,1954,PAN,954313,2640784896.000,0.036,0.038,0.637,-0.084,-11.680,0.668,0.241,,,,,,,0.233,3.215,,,,2.982,,,,,,,,,,,,,,0.601,0.630,,,,0.040,0.010,,0.020,0.000,,,,0.010,,,,0.030,,,,,
Panama,1955,PAN,981083,2796425984.000,0.036,0.037,0.714,0.077,12.070,0.728,0.255,,,,,,,0.269,3.929,,,,3.660,,,,,,,,,,,,,,0.678,0.691,,,,0.030,0.010,,0.020,0.000,,,,0.010,,,,0.030,,,,,
Panama,1956,PAN,1009040,2940932096.000,0.036,0.036,0.637,-0.077,-10.770,0.632,0.217,,,,,,,0.305,4.567,,,,4.261,,,,,,,,,,,,,,0.601,0.595,,,,0.030,0.010,,0.020,0.000,,,,0.010,,,,0.020,,,,,
Panama,1957,PAN,1038181,3249456128.000,0.040,0.038,0.765,0.128,20.120,0.737,0.236,,,,,,,0.345,5.332,,,,4.987,,,,,,,,,,,,,,0.725,0.699,,,,0.030,0.010,,0.020,0.000,,,,0.010,,,,0.030,,,,,
Panama,1958,PAN,1068544,3270190080.000,0.033,0.031,0.930,0.165,21.550,0.871,0.285,,,,,,,0.378,6.262,,,,5.884,,,,,,,,,,,,,,0.898,0.840,,,,0.030,0.010,,0.020,0.000,,,,0.010,,,,0.030,,,,,
Panama,1959,PAN,1100139,3483259904.000,0.047,0.043,0.996,0.066,7.070,0.905,0.286,,,,,,,0.425,7.259,,,,6.833,,,,,,,,,,,,,,0.949,0.863,,,,0.030,0.010,,0.020,0.000,,,,0.010,,,,0.030,,,,,
Panama,1960,PAN,1133005,3693115904.000,0.055,0.048,0.996,-0.000,-0.010,0.879,0.270,,,,,,,0.480,8.255,,,,7.775,,,,,,,,,,,,,,0.942,0.831,,,,0.030,0.010,,0.020,0.000,,,,0.020,,,,0.030,,,,,
Panama,1961,PAN,1167120,4088622080.000,0.055,0.047,1.102,0.106,10.670,0.945,0.270,,,,,,,0.534,9.357,,,,8.823,,,,,,,,,,,,,,1.048,0.898,,,,0.030,0.010,,0.020,0.000,,,,0.020,,,,0.030,,,,,
Panama,1962,PAN,1202447,4434752000.000,0.062,0.051,1.190,0.088,7.970,0.990,0.268,,,,,,,0.596,10.547,,,,9.951,,,,,,,,,,,,,,1.129,0.938,,,,0.040,0.010,,0.030,0.000,,,,0.020,,,,0.030,,,,,
Panama,1963,PAN,1238893,4850126848.000,0.069,0.056,1.183,-0.007,-0.620,0.955,0.244,,,,,,,0.665,11.730,,,,11.065,,,,,,,,,,,,,,1.114,0.899,,,,0.040,0.010,,0.030,0.000,,,,0.020,,,,0.030,,,,,
Panama,1964,PAN,1276331,5060552192.000,0.062,0.048,1.242,0.059,4.960,0.973,0.245,,,,,,,0.727,12.972,,,,12.245,,,,,,,,,,,,,,1.180,0.924,,,,0.030,0.010,,0.030,0.000,,,,0.020,,,,0.030,,,,,
Panama,1965,PAN,1314679,5504225792.000,0.084,0.064,1.527,0.286,23.000,1.162,0.278,,,,,,,0.811,14.499,,,,13.689,,,,,,,,,,,,,,1.444,1.098,,,,0.040,0.010,,0.030,0.000,,,,0.020,,,,0.030,,,,,
Panama,1966,PAN,1353847,5911815168.000,0.073,0.054,1.656,0.128,8.400,1.223,0.280,,0.004,0.003,,,,0.883,16.155,0.004,,,15.268,,,,,,,,,,,,,,1.579,1.166,,,,0.030,0.010,0.000,0.030,0.000,0.000,,,0.020,,,,0.030,,,,,
Panama,1967,PAN,1393824,6405394944.000,0.091,0.065,1.696,0.040,2.430,1.217,0.265,,0.007,0.005,,,,0.974,17.850,0.011,,,16.865,,,,,,,,,,,,,,1.598,1.146,,,,0.040,0.010,0.000,0.030,0.000,0.000,,,0.020,,,,0.030,,,,,
Panama,1968,PAN,1434676,6876144128.000,0.080,0.056,2.018,0.323,19.020,1.407,0.294,,0.004,0.003,,,,1.054,19.869,0.015,,,18.800,,,,,,,,,,,,,,1.934,1.348,,,,0.030,0.020,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,,,,
Panama,1969,PAN,1476481,7409264128.000,0.087,0.059,2.051,0.033,1.630,1.389,0.277,,0.011,0.007,,,,1.142,21.920,0.026,,,20.752,,,,,,,,,,,,,,1.953,1.323,,,,0.030,0.010,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,,,,
Panama,1970,PAN,1519286,7855561216.000,0.120,0.079,2.201,0.150,7.310,1.449,0.280,,,,,,,1.262,24.121,,,,22.834,,,,,,,,,,,,,,2.081,1.370,,,,0.040,0.010,,0.030,0.010,,,,0.020,,,,0.030,,,,,
Panama,1971,PAN,1563093,8611353600.000,0.138,0.088,2.600,0.399,18.140,1.664,0.302,,0.004,0.002,,,,1.400,26.721,0.029,,,25.292,,,,,,,,,,,,,,2.459,1.573,,,,0.050,0.020,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,,,,
Panama,1972,PAN,1607797,9008307200.000,0.134,0.084,2.798,0.198,7.610,1.740,0.311,,0.022,0.014,,,,1.534,29.519,0.051,,,27.934,,,,,,,,,,,,,,2.642,1.643,,,,0.040,0.020,0.000,0.030,0.010,0.000,,,0.020,,,,0.030,,,,,
Panama,1973,PAN,1653208,9493539840.000,0.214,0.130,3.237,0.439,15.690,1.958,0.341,,0.033,0.020,,,,1.749,32.757,0.084,,,30.924,,,,,,,,,,,,,,2.990,1.809,,,,0.060,0.020,0.000,0.030,0.010,0.000,,,0.030,,,,0.040,,,,,
Panama,1974,PAN,1699056,9721365504.000,0.196,0.116,3.018,-0.220,-6.790,1.776,0.310,,0.011,0.007,,,,1.945,35.774,0.095,,,33.734,,,,,,,,,,,,,,2.810,1.654,,,,0.060,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.030,,,,,
Panama,1975,PAN,1745142,9880100864.000,0.138,0.079,3.659,0.642,21.260,2.097,0.370,,0.004,0.002,,,,2.083,39.433,0.099,,,37.251,,,,,,,,,,,,,,3.517,2.016,,,,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,,,,
Panama,1976,PAN,1791389,10042368000.000,0.137,0.076,3.607,-0.052,-1.430,2.013,0.359,,,,,,,2.220,43.040,,,,40.721,,,,,,,,,,,,,,3.470,1.937,,,,0.040,0.020,,0.040,0.010,,,,0.030,,,,0.040,,,,,
Panama,1977,PAN,1837804,10153104384.000,0.132,0.072,3.455,-0.151,-4.190,1.880,0.340,,,,,,,2.352,46.495,,,,44.045,,,,,,,,,,,,,,3.323,1.808,,,,0.040,0.020,,0.040,0.010,,,,0.030,,,,0.040,,,,,
Panama,1978,PAN,1884427,11148749824.000,0.145,0.077,2.835,-0.621,-17.970,1.504,0.254,,,,,,,2.497,49.330,,,,46.734,,,,,,,,,,,,,,2.689,1.427,,,,0.040,0.010,,0.040,0.010,,,,0.030,,,,0.030,,,,,
Panama,1979,PAN,1931302,11651850240.000,0.242,0.125,3.181,0.346,12.210,1.647,0.273,,,,,,,2.740,52.511,,,,49.672,,,,,,,,,,,,,,2.939,1.521,,,,0.060,0.020,,0.040,0.010,,,,0.030,,,,0.030,,,,,
Panama,1980,PAN,1978489,13424039936.000,0.268,0.135,3.108,-0.073,-2.300,1.571,0.231,0.058,0.004,0.002,,,,3.008,55.618,0.103,,,52.508,,27232.654,4.014,,,,,,,,,,,2.836,1.433,,,53.880,0.070,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.030,,,,,
Panama,1981,PAN,2025965,14618687488.000,0.245,0.121,3.323,0.215,6.920,1.640,0.227,0.061,0.007,0.004,,,,3.252,58.941,0.110,,,55.579,,26923.539,3.731,,,,,,,,,,,3.070,1.515,,,54.546,0.060,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,,,,
Panama,1982,PAN,2073748,15185760256.000,0.164,0.079,3.279,-0.044,-1.330,1.581,0.216,0.063,0.007,0.004,,,,3.417,62.220,0.117,,,58.686,,25008.264,3.415,,,,,,,,,,,3.107,1.498,,,51.861,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,,,,
Panama,1983,PAN,2121863,14954065920.000,0.149,0.070,3.480,0.201,6.140,1.640,0.233,0.066,0.007,0.004,,,,3.566,65.699,0.125,,,62.009,,24736.764,3.510,,,,,,,,,,,3.323,1.566,,,52.488,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,,,,
Panama,1984,PAN,2170330,15268616192.000,0.138,0.063,2.867,-0.612,-17.600,1.321,0.188,0.053,0.026,0.012,,,,3.703,68.567,0.150,,,64.713,,24812.436,3.527,,,,,,,,,,,2.704,1.246,,,53.851,0.030,0.010,0.000,0.040,0.010,0.000,,,0.030,,,,0.030,,,,,
Panama,1985,PAN,2219200,16051871744.000,0.136,0.062,2.727,-0.140,-4.900,1.229,0.170,0.056,,,,,,3.840,71.294,,,,67.304,,21820.146,3.017,,,,,,,,,,,2.590,1.167,,,48.423,0.030,0.010,,0.040,0.010,,,,0.030,,,,0.030,,,,,
Panama,1986,PAN,2268500,16762535936.000,0.152,0.067,2.735,0.008,0.290,1.206,0.163,0.055,0.022,0.010,,,,3.991,74.028,0.172,,0.099,69.766,,22009.488,2.979,,,0.099,0.044,,,,,,,2.462,1.085,,,49.929,0.030,0.010,0.000,0.040,0.010,0.000,,0.000,0.030,,,0.000,0.030,,,,,
Panama,1987,PAN,2318259,17272821760.000,0.157,0.068,3.180,0.445,16.260,1.372,0.184,0.061,0.092,0.040,,,,4.148,77.208,0.264,,0.198,72.598,,22344.307,2.999,,,0.099,0.043,,,,,,,2.832,1.222,,,51.800,0.030,0.010,0.000,0.040,0.010,0.000,,0.000,0.030,,,0.000,0.030,,,,,
Panama,1988,PAN,2368556,15522385920.000,0.097,0.041,2.915,-0.265,-8.330,1.231,0.188,0.057,0.070,0.029,,,,4.245,80.123,0.333,,0.304,75.240,,21644.889,3.303,,,0.106,0.045,,,,,,,2.642,1.115,,,51.267,0.020,0.010,0.000,0.040,0.010,0.000,,0.000,0.030,,,0.000,0.030,,,,,
Panama,1989,PAN,2419424,15760105472.000,0.074,0.030,2.510,-0.404,-13.870,1.038,0.159,0.050,0.029,0.012,,,,4.319,82.633,0.363,,0.407,77.545,,20637.006,3.168,,,0.102,0.042,,,,,,,2.305,0.953,,,49.930,0.010,0.010,0.000,0.040,0.010,0.000,,0.000,0.030,,,0.000,0.030,,,,,
Panama,1990,PAN,2470946,17035766784.000,0.129,0.052,2.632,0.122,4.850,1.065,0.154,0.050,0.092,0.037,2.877,1.164,0.169,4.448,85.265,0.454,,,79.956,,21356.531,3.098,,,,,3.173,5.605,4.020,1.627,1.120,0.453,2.411,0.976,,,52.771,0.030,0.010,0.000,0.040,0.010,0.000,,,0.030,,,,0.030,,13.850,7.840,0.245,9.320
Panama,1991,PAN,2523115,18696767488.000,0.129,0.051,3.104,0.472,17.950,1.230,0.166,0.060,0.128,0.051,2.995,1.187,0.160,4.578,88.369,0.583,,,82.803,,20677.295,2.790,,,,,3.301,5.683,4.090,1.621,1.110,0.440,2.847,1.128,,,52.171,0.030,0.010,0.000,0.040,0.010,0.000,,,0.030,,,,0.030,,14.340,8.330,-0.110,-3.530
Panama,1992,PAN,2575949,20281944064.000,0.108,0.042,4.112,1.008,32.460,1.596,0.203,0.078,0.128,0.050,3.501,1.359,0.173,4.685,92.482,0.711,,,86.679,,20610.068,2.618,,,,,3.498,5.827,4.180,1.623,1.180,0.458,3.876,1.505,,,53.090,0.020,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,15.010,9.010,-0.611,-14.860
Panama,1993,PAN,2629584,21447804928.000,0.246,0.093,3.785,-0.327,-7.960,1.439,0.176,0.071,0.139,0.053,3.383,1.287,0.158,4.931,96.267,0.850,,,90.079,,20271.777,2.485,,,,,3.521,5.807,4.250,1.616,1.210,0.460,3.400,1.293,,,53.306,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,15.270,9.260,-0.402,-10.610
Panama,1994,PAN,2684117,22126487552.000,0.264,0.098,4.177,0.392,10.370,1.556,0.189,0.070,0.143,0.053,3.563,1.327,0.161,5.195,100.444,0.993,,,93.849,,22122.645,2.684,,,,,3.558,5.797,4.320,1.609,1.170,0.436,3.770,1.405,,,59.380,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,15.560,9.550,-0.615,-14.710
Panama,1995,PAN,2739667,22570156032.000,0.264,0.096,3.653,-0.524,-12.550,1.333,0.162,0.058,0.095,0.035,3.482,1.271,0.154,5.459,104.097,1.088,,,97.143,,22820.297,2.770,,,,,3.562,5.753,4.210,1.537,1.160,0.423,3.294,1.202,,,62.520,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,15.760,9.760,-0.171,-4.670
Panama,1996,PAN,2796291,23274084352.000,0.277,0.099,4.447,0.794,21.730,1.590,0.191,0.079,0.264,0.094,4.045,1.446,0.174,5.736,108.544,1.352,,,101.049,,20119.840,2.417,,,,,3.487,5.632,4.080,1.459,1.210,0.433,3.906,1.397,,,56.261,0.040,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,15.750,9.750,-0.402,-9.040
Panama,1997,PAN,2853907,24846157824.000,0.299,0.105,4.630,0.183,4.120,1.622,0.186,0.080,0.150,0.053,4.272,1.497,0.172,6.035,113.174,1.502,,,105.229,,20265.744,2.328,,,,,3.395,5.498,3.840,1.346,1.120,0.392,4.180,1.465,,,57.837,0.050,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.040,,15.690,9.690,-0.358,-7.740
Panama,1998,PAN,2912318,26740258816.000,0.320,0.110,5.901,1.271,27.440,2.026,0.221,0.097,0.158,0.054,5.280,1.813,0.198,6.356,119.074,1.660,,,110.652,,20920.363,2.278,,,,,3.695,5.758,3.770,1.295,1.160,0.398,5.423,1.862,,,60.927,0.050,0.020,0.000,0.040,0.010,0.000,,,0.030,,,,0.060,,16.770,10.760,-0.620,-10.510
